,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
5643,SLC12A6,MASTL,PCSK4,SPAG16,UGGT1,COL17A1,AC110771.1,ADNP2
5644,RP11-47L3.1,AP4S1,CARD6,C22orf29,IRAK3,ANKRD50,RP4-784A16.5,RP11-973H7.4
5645,TNRC6A,AC009299.3,NDST1,CTD-2135D7.5,LLPH,CTD-2350C19.2,AASS,HFE
5646,USP45,ZNF682,COL9A3,ECI1,XRCC6BP1,MRPL15,ZNF724P,DDX31
5647,EYA3,SMAD1,ATP6V1C2,POLR2M,TEP1,CTD-2201I18.1,ATP6V0E2-AS1,SVOPL
5648,CDC16,SLC12A5,TMEM194A,TRAPPC9,SPECC1L,SNORD3A,UAP1,DLGAP3
5649,RP11-629O1.2,PAX8,ATG14,KBTBD6,EIF4E3,USP12-AS2,LINC00630,ZNF461
5650,ZNF142,RIMS3,CLSPN,CANX,SRP14,SHCBP1,BCL2L14,RP11-426C22.5
5651,UAP1,BGLAP,METTL3,CTC-550B14.7,SPAG8,RP11-159H10.3,PHLDB1,TDRKH
5652,DST,MFSD7,SGOL2,CCDC141,IQCH-AS1,MXRA8,ZNF223-1,ATN1
5653,FYCO1,MYLK-AS1,PKN2,HOOK1,HK3,CTC-209H22.3,FGF9,PDPR
5654,USP13,MIR378D2,PPP1R3B,LFNG,RPAP1,GCNT4,ABLIM2,PDE9A
5655,RP11-260M2.1,AC006547.15,FANCM,C1RL,TTC30B,RP11-46J23.1,HSPA2,RP11-1055B8.7
5656,RP11-10C24.1,RP11-215G15.5,NGRN,SPA17,UBE2D3,RP11-314O13.1,RP11-90D4.3,LRFN3
5657,DZANK1,RP1-224A6.3,CHCHD6,C20orf197,RP5-1125A11.1,RP11-56G10.2,SPEG,PTBP2
5658,ZCCHC4,GPR157,TIAM2,DNAJC30,SEMA5A,EFHD1,C19orf44,ZFP1
5659,RP11-6F2.5,UFSP1,HCG25,WNT11,NUDT18,AC016683.5,SCARF2,L2HGDH
5660,TEX12,RP11-367J11.3,HLTF,C5orf22,CRADD,BEND4,QRICH2,ASPM
5661,HSPB9,TBC1D15,HEATR5A,ZNF770,PVRL1,GPR63,SETD7,SLC35G1
5662,ATP13A4,TRAIP,RP11-229P13.20,RP11-297N6.4,RCL1,RP11-876N24.2,TEX12,RP11-164H13.1
5663,NMNAT1,PLXNA3,RP11-326I11.3,METTL21B,CASC3,TMEM136,RP11-290D2.3,KBTBD8
5664,DGAT1,RP11-225H22.7,ZMYM6NB,ZNF44,KLHDC10,RP11-60I3.5,CTA-293F17.1,ORC1
5665,PRKAR2B,RP11-6F2.5,C16orf70,FBLN5,CTD-2521M24.9,CTD-2544N14.3,PASK,ZNF337
5666,FAM189B,RP11-529K1.4,FOXN3-AS1,ACBD3,AC011747.4,DAB1,FAM47E,HMGN3-AS1
5667,TMEM27,MIER2,SPIN2B,ZFPL1,RP11-15A1.7,RP11-77H9.8,HYAL3,TMEM180
5668,RP11-159G9.5,SLC2A5,LINC00944,PRMT6,ZNF486,SYCP2,RP11-275I4.1,GPR20
5669,CTB-32O4.2,C22orf43,HIST1H2BH,C12orf44,CUTC,IQCK,HIST2H2BF,RASL11A
5670,THNSL1,RP11-560J1.2,CENPU,RP13-582O9.5,KB-1507C5.2,CNKSR2,PARK2,KCNMB3
5671,AC009961.3,CTD-2201I18.1,RBM19,ADSSL1,TYW5,AMFR,RP11-137H2.4,CDC14B
5672,NEURL4,STARD5,GLCE,POGZ,RP11-296O14.3,EPPK1,ADAM22,URB2
5673,AC004951.6,KRT73,UCK1,SIRPB1,ZNF654,MLLT4,SEMA5A,SAP30L
5674,SULT1B1,SFMBT1,CTD-2231E14.8,RP11-98D18.3,VSIG1,ZNF396,CERCAM,AMN
5675,PIEZO1,FAM229A,UFSP2,PEBP4,MARK4,GAS8,Y_RNA,ZWILCH
5676,CRAT,RP11-96K19.5,AC093391.2,TTN,DPH2,RP11-571M6.7,ZNF57,FAM114A1
5677,C7orf25,XXbac-B135H6.15,KCNMB4,PARD6B,CTU2,RP11-89F3.2,WNK3,AC007246.3
5678,AC159540.1,MUM1,RP5-1065J22.8,RP11-805J14.5,SEPT6,TVP23C,RP11-302B13.5,STARD8
5679,MT3,RPL34-AS1,CDC6,ACTL10,NRBP2,PVRL3,AC013449.1,KIF2C
5680,GSTM2,USP12-AS2,CCNT2,SPTLC1,CMKLR1,PARM1,AC024940.1,ADCY3
5681,SNTB2,ZNF175,CSNK1D,PRKAG2-AS1,C8orf59,RP11-15A1.7,RBFOX2,ALG10
5682,TMEM63A,MAP3K12,DECR1,C14orf1,NUDT19,CTB-129O4.1,RP11-157J24.2,ZNF234
5683,KANSL3,COLQ,SHCBP1,DMPK,MBTD1,RBL1-1,PLCH2,NLRP2
5684,RP11-1348G14.5,L3MBTL4,FOXM1,RP11-488C13.5,DLG4,YY2,RP1-224A6.3,SLC25A10-1
5685,AP001062.7,C9orf9,CD59,TCTN1,TTC30A,CELSR2,RP11-429E11.3,NHLRC1
5686,ZNF525,PRKD2,SKA3,IFT46,CTD-3074O7.12,SEZ6,MAP3K14-AS1,ATP7A
5687,ZNF470,TMA16,NEK2,DVL2,GMPR2,ZFP2,ADD2,EXOC6B
5688,NOL9,MRRF,OCIAD1,GSTM1,PLEKHF2,RP11-317N8.5,AGAP5,NUF2
5689,RP11-1017G21.5,TBKBP1,KCTD21-AS1,CEACAM3,CARM1,RAB15,YY2,RPGRIP1L
5690,CACNA1C,KAT7,JSRP1,NT5DC3,KLHDC8B,FAM178B,GRIK4,KLRC4
5691,FKBP14,SNRPN,RP4-684O24.5,TLCD1,AKT2,FOXD2,FAM178B,CAB39L
5692,P2RY13,PIWIL1,WDTC1,RMI1,RP11-796G6.2,PRR7-AS1,ZNF541,LNX2
5693,ZNF84,CANT1,TRMT2B,JAKMIP2,RP11-244H3.4,RP11-529K1.4,RP11-666A20.4,B3GALTL
5694,AIMP1,PREP,Y_RNA,RP11-192H23.4,OAZ3,PAPL,PNMA3,SGOL1
5695,CTD-2538C1.2,KCNH3,CTD-2538C1.2,BTN2A2,EXOSC6,ERCC6,CTD-2047H16.4,AC104532.4
5696,ZNF639,ACSL4,ZNF738,MMP25,TBC1D9B,CLCN4,CDK5R1,LRG1
5697,RGPD2,CEP112,RP11-119F19.2,PACSIN1,GTF2H2C,TRIM24,RP11-242D8.1,PGAP1
5698,NFX1,ZNF483,RP11-734K2.4,MT1X,CREBBP,ZNF771,CDON,ZNF831
5699,UBE2D4,ZNF48,CECR6,MAPK6,ZSCAN18,KHDRBS2,NLGN4Y,ENPP5
5700,SPATS2L,STXBP5,PRTFDC1,MAGI3,ARRDC4,FRMPD3,LA16c-358B7.3,ROBO3
5701,GP5,ZNF70,CDS2,ST13,ZSWIM3,SOX13,ZNF205-AS1,ZNF557
5702,PPM1D,UBE2V1,SLC30A4,GNB4,LTA,DLL3,ZFP2,FAM160B1
5703,CLINT1,POU6F1,CTD-2651B20.3,USP13,RP13-317D12.3,AC195454.1,RP3-486I3.7,ZNF417
5704,ELF2,NAP1L3,SAPCD2,TMPO-AS1,TPM2,WDR66,FH,IL23R
5705,PEX2,ZNF41,AC008174.3,DNAJC10,TRAPPC9,PHLDB1,AC026471.6,EDC4
5706,MTFR2,RP11-805I24.1,DGKQ,RNF121,FAM173B,CTD-3203P2.2,RP11-274B21.10,RP11-145M9.4
5707,FAM212B,NAA60,RP11-312B8.1,GPR108,MAFK,RP11-502I4.3,PVRL3,TLE2
5708,RP11-190C22.8,DNAJC3,CTA-407F11.8,ACADM,IQCB1,TEX12,ZNF239,CYP2U1
5709,IPO9,HCFC1,CCDC26,CAPS2,SEL1L3,COL4A4,RP11-359K18.3,RP11-787I22.3
5710,CETP,RP11-873E20.1,C9orf114,CPEB4,TMEM220,CECR5-AS1,MAGI3,FANCE
5711,MRPL35,ARL5B,KRT86,HSD17B12,HUS1B,HSPA2,FAM83G,AC011893.3
5712,FAM174B,C12orf5,RP11-356C4.3,CTC-273B12.10,LETMD1,RP5-1042K10.10,RP11-105N14.1,C16orf52
5713,RNF175,LGALS12,PADI2,PLK4,SLC8B1,RP11-90D4.3,CA6,MACROD2
5714,PDXK,EML6,GRIK4,ITPKB-AS1,RP11-791G15.2,SLC12A5,PTPRM,CDAN1
5715,B3GNT5,SPTLC3,RP11-635N19.1,UBR4,CTTNBP2NL,CACNA1C,LGALS4,SPATA24
5716,KIF21B,VIM-AS1,CTC-550B14.7,MIR24-2,FUT8,SAMD12,CTC-444N24.6,NPIPA1
5717,AIFM2,C11orf35,CTA-14H9.5,LRP5,HYAL3,ZNF711,PPIL6,SGCB
5718,EFNA3,TRAF3IP1,HSF2,ATF7,SYK,KCNH3,RP11-863K10.7,PMEPA1
5719,DGKQ,ZSCAN22,ARSE,RBM4,BGLAP,DPY19L2,TUBB4A,TRIM46
5720,RP11-315I20.1,FAM161A,PBK,MALT1,SACS,AC008174.3,NRCAM,ZNF781
5721,RP11-72M17.1,ABCC4,RP11-552D4.1,RGS3,RNF123,ANKRD31,PIFO,RP11-166P13.3
5722,DCUN1D5,GNAL,SNX17,LTC4S,LYPLAL1,SLC3A1,DNAJC28,LAPTM4B
5723,DGAT2,IRF3,ZNF785,THAP8,TESK2,DNAJC27,ANKRD34A,DST
5724,SCGB1B2P,RP11-875O11.1,SLC4A4,RP11-706O15.1,NUDT8,SLC23A3,RAPGEFL1,RP11-221J22.2
5725,IL1RAP,ADC,PRPSAP1,TM9SF1,ZNF703,SLC2A5,LINC00174,FANCD2
5726,AC011558.5,GP6,SPR,TMEM256-PLSCR3,DKFZP779L1853,RP11-105N14.1,CTB-91J4.1,ZNF473
5727,AC131056.3,ALDH4A1,DNAJC28,CNTNAP2,TBCD,SERHL2,DSCR9,ERC1
5728,RP11-66B24.2,ZC4H2,BHLHE40-AS1,CCNT2,ZNF480,SOX12,PLEK2,TMEM220
5729,SLC12A4,CXCR1,BNC2,LRP10,METTL15,PLEKHM3,BOLA3-AS1,IGFBP4
5730,MID2,RP11-192H23.6,CEP55,CABLES2,LRRC3,PRDM11,TMOD1,TPX2
5731,CDC42BPB,SOCS1,GS1-393G12.14,ZNF347,ACTL6A,CTD-2353F22.1,MOCS1,BRMS1L
5732,KIF27,ZNF486,RANBP17,RP11-73K9.2,ORC1,CTD-2047H16.4,C19orf68,KCNG1
5733,AF127936.7,RP3-395M20.12,CEBPA-AS1,IRF4,RP11-493L12.4,ZNF709,ESPN,ZNF737
5734,IKZF5,MTHFSD,FAM127C,RP1-40E16.12,C20orf197,RP11-92K15.3,ZZEF1,CTB-61M7.2
5735,CCDC73,CCDC62,ABCC6,AGAP5,ZNF248,KLHL32,DAB1,SLC4A8
5736,SLC38A7,PPP1R3B,CDON,MAP1S,CORO6,ITPKB-AS1,GTSCR1,ADORA2A-AS1
5737,KIAA0101,GTF2H2C,ACSBG1,VIPR2,GMPPB,RP11-138I18.2,RP11-83N9.5,MYEF2
5738,PANK1,CDC6,SCP2,CDK19,METTL1,NPAS2,FAM167B,UGT2B17
5739,ZNF408,OPA1,EHHADH,FOSL1,CNEP1R1,RP11-56B16.4,RP1-151F17.1,SYNJ2
5740,ZBTB42,LINC00422,SERPINB2,SEC14L2,SPDL1,SUN3,CTB-129O4.1,RP13-516M14.1
5741,KB-1208A12.3,TJP2,BOK,MAP3K12,KDM4A,RP11-314N13.3,CMTM4,ADAM9
5742,ZNF79,SCD5,RP11-293A21.1,GRB10,CTRL,ALPL,NUAK1,CDCA5
5743,RP11-531A24.5,TNKS2-AS1,RP1-151F17.1,NUGGC,PAF1,RP4-784A16.5,RP11-603J24.5,STX1A
5744,DUOX1,FOXM1,ZC3H7B,FAM229A,FIP1L1,AC012074.2,CRYGS,GEMIN5
5745,SMCR8,SET,FAM132A,PLD4,RAD51D,RP11-707G14.1,LOH12CR1,MATN1-AS1
5746,KIAA1524,MCM10,CALCRL,LINC00957,TBL1XR1,RP11-805I24.1,C10ORF68,CBX8
5747,ARL5B-AS1,UCHL1,MYO10,ZNF765,CTD-2666L21.1,FCGBP,ZNF711,SLC12A2
5748,XPO5,SLC10A7,PKD2L1,GATSL3,TMEM229B,FAM83G,GPR61,PAQR3
5749,AC083949.1,KIAA0930,TMEM69,FAM106A,MMADHC,RP11-297B17.3,OVGP1,TRPM2
5750,MTERF,TPBG,UBXN10,CCL4L2,XKR6,CDKL5,WNT10B,ACPL2
5751,SPINT1,PARD6B,CTA-293F17.1,LA16c-358B7.3,ASCC3,MYCBPAP,RP4-813F11.4,MPZ
5752,LRRC1,LSM2,NT5DC2,FAM132A,CDC20,BMPR1A,C17orf51,GPR146
5753,ZNF81,NEK2,FAM92A1,ZFP69B,IKZF2,VSIG2,RASAL1,CAHM
5754,GCSH,PBK,PNRC2-1,CDNF,THAP8,PIWIL1,ST6GALNAC1,KIAA0825
5755,ACOT13,SKA3,PLEKHA8,ADRBK2,GPR75-ASB3,NRCAM,AC068580.6,UCP3
5756,USP53,CEP55,PBX1,FOXRED1,CPAMD8,CIT,CYP2J2,RP11-686O6.2
5757,BBS12,ZNF235,SLC20A2,KANK3,RP3-380B8.4,AC024940.1,GNAQ,RET
5758,FBXO36,RP3-466P17.1,RP11-156K13.3,IFNG-AS1,CYP51A1,RP11-350F4.2,SERINC4,SLC25A35
5759,SPEG,ESCO2,C1orf177,TMEM170A,HIST1H3D,ATP6V0E2-AS1,RP11-707G14.1,ATG2B
5760,RP11-333E1.1,RP4-583P15.15,KRT23,PHPT1,STON2,LINC00562,AE000662.92,MCC
5761,DMWD,FRMPD3,AP003068.9,RP11-791G15.2,XXbac-BPG181M17.6,TMEM88,AC103563.8,CACNB1
5762,NDST1,AC004381.6,RP11-456D7.1,C1orf61,ARHGEF19,TNIP3,TRIM61,METRN
5763,WWOX,CTC-550B14.7,RP11-190C22.9,STXBP1,EFNA3,RP11-378J18.3,ANKS1B,GFRA2
5764,TULP2,CDON,RP11-81A22.5,EPHX1,LINC00886,CRHBP,RP11-106M3.3,CCNJ
5765,IFNG-AS1,RP4-673M15.1,ZFYVE19,XXbac-BPG299F13.17,DISP1,OXT,RBBP9,ZNF410
5766,PARP2,DNAJC9-AS1,WNT11,AC093495.4,AVL9,RP11-275I4.1,SPIRE1,CCDC106
5767,DLG1,RP5-1142A6.2,TMCC1-AS1,MKL1,GPATCH2,CTD-2054N24.2,CELSR2,TMEM177
5768,PPFIBP1,ZNF540,RN7SL832P,KLF7,PRAM1,RP11-77H9.2,PLXNA1,FKTN
5769,RTCB,CCDC3,PM20D1,TXNDC11,UVSSA,ZNF571-AS1,TPBG,FLJ27365
5770,UBR4,ZNF75D,NKAPL,SLC12A4,ALG1L,CTD-2366F13.1,CTB-47B11.3,LNX1
5771,FANCC,UBXN10,RP11-178L8.7,HSPA1A,PLD3,DCHS1,DYX1C1,RLN1
5772,SNCA,DAB2,DMC1,CDC20,PRKAR2A-AS1,CTB-113P19.5,EPPK1,RP11-706O15.1
5773,NFE2L3,ZNF625,RP11-764K9.1,ZNF416,ALKBH3,PEX12,RP11-805J14.5,HYAL3
5774,MRE11A,CTC-366B18.2,RP1-265C24.8,ZDHHC1,SMURF2,RP11-755F10.1,CCDC26,HPCAL4
5775,SEMA6B,NUPR1L,GAS2,TIGD7,TECPR2,CCDC163P,PRR7-AS1,HIATL2
5776,NRG1,KCNC4,SNX19,VSIG8,MYO15B,SMTN,RTKN,SSH3
5777,RP11-264L1.4,FICD,FRMPD3,FDXR,NPTXR,RAPGEF3,CYP2D6,RP11-258F1.1
5778,FBXW8,SPRY1,CTC-366B18.2,CEP19,HOXA10,KIAA1107,RP11-656E20.5,ACP6
5779,AC004463.6,RAB15,XYLB,TMEM39A,RPP25L,RP11-83N9.5,MCAM,TMEM182
5780,B3GNT9,RP11-531A24.5,ZNF253,ISG20,BUD31,GEN1,RP11-6F2.5,SLC29A2
5781,SIDT1,ADIRF,TMEM105,CEP55,MLH3,WNT16,RP11-513M16.7,AGER
5782,B3GALNT1,KIF9-AS1,CTB-96E2.7,ADAL,ZNF181,ZNF763,FCGBP,RP11-69E11.4
5783,TANC2,HIST1H2AL,RP11-175O19.4,RBM47,TTC34,C22orf15,AHCY,RP11-1100L3.8
5784,CTB-47B11.3,NIPAL1,SERPINE1,ANKRD55,ANKS1A,PNMA3,ANKRD34B,RP11-867G23.8
5785,GEMIN2,RP11-707M3.3,CKMT2-AS1,TMPRSS11E,ARMCX6,RP3-380B8.4,AC011747.4,C19orf54
5786,IZUMO4,CENPA,ZNF544,SARNP,USP34,FAM66C,RP11-474G23.3,WDR47
5787,CASP1,SLC23A3,GPR61,ALDH5A1,UFL1,SLCO4A1,MT3,STK35
5788,CTD-2260A17.1,RP4-813F11.4,SNX25,NSMF,ZNF79,RP4-684O24.5,MIPEP,RP11-536K7.3
5789,SYT5,PSMA8,RP11-1407O15.2,RILP,CTA-217C2.1,IFFO2,NEDD4,SLAMF8
5790,TRNT1,SRRM5,GP6,AK1,PPP1R16A,AC103563.8,LINGO3,PAWR
5791,CTD-2047H16.4,AC013449.1,RP11-80H8.4,KRT72,RP13-582O9.5,CTD-2623N2.11,RP5-930J4.4,CCDC157
5792,RP13-516M14.1,CTC-459I6.1,RP11-46A10.5,FAM72B,RP11-1007O24.3,TNKS1BP1,CLTCL1,RINT1
5793,SH3BP5L,RP11-513M16.7,FAM151B,MYLK-AS1,ZFYVE19,TMPRSS3,NPR2,WBP1
5794,SLC16A11,KTN1-AS1,RP5-940J5.6,LINC00630,ALKBH1,RP11-423H2.3,UBXN10-AS1,BOLA2B
5795,RUFY2,XXbac-BPGBPG55C20.2,ARC,UBE2B,LIPC,CTD-2260A17.1,AP006222.2,OBSCN
5796,MTSS1L,SLC3A1,NRXN2,PARD6A,SCAND1,ANKRD18B,BNC2,IFFO2
5797,FITM1,TMEM238,SGMS1,AC079767.4,F12,RP11-600F24.7,RP11-473M20.16,PIGW
5798,EIF3K,ZNF280B,GPER1,IKZF4,DCUN1D4,CRB1,SGPP2,LOXL3
5799,NR2C2,PM20D1,NPEPPS,AC004854.4,BIVM,RP11-66B24.2,DOK6,IQCE
5800,ZNF227,RP11-106M3.3,KB-1460A1.5,IPO9-AS1,ADHFE1,CITF22-92A6.1,PODN,SLC25A23
5801,RP11-13P5.1,RP11-33O4.1,ARL2,UGDH,FOXO3,CTD-2410N18.3,EDEM3,NPHP4
5802,FAM134A,QRICH2,LATS2-AS1,COQ10A,PRPF38B,UNC45B,GTF2IRD1,TMEM121
5803,NPIPB3,RAPGEF3,RP11-318C24.2,GHRL,NAPEPLD,RTKN,CLDN12,COCH
5804,KIF18A,GTF2A1,RP11-666A1.5,TMEM38B,PSMG3-AS1,FGF9,SNORA40-1,HMMR
5805,C14orf132,RNF222,NFU1,PTGDR,CDC6,SV2A,PDP2,SGCA
5806,TMEM67,CACNA1C,GPR157,RP11-432I5.1,FOXM1,TMEM254-AS1,AC008440.5,ZIK1
5807,FAM83G,ZACN,BTBD19,SLC38A5,UCHL1,CAND2,RP11-805I24.1,CCDC136
5808,PUS10,VIPR2,LRP3,RP11-680A11.5,UBOX5,FGF14-AS2,RBL1-1,NLRX1
5809,HIPK3,TEX12,TCP10L,NR2C2,SHCBP1,RP11-977G19.12,RP11-490M8.1,RNLS
5810,CD9,ZNF205-AS1,RP11-390B4.5,EFTUD1,ESCO2,C1orf145,DCTN4,TNFRSF12A
5811,ADORA2B,C4BPB,POLN,ZNF18,RP3-466P17.1,RP11-403A21.1,CAND2,GPAT2
5812,SLC6A4,BOK,SLC6A4,AC093388.3,GATM,RP1-261D10.2,ZBED3,RP11-10L12.4
5813,PLCB1,SEMA5A,RNASE3,IL3RA,RP4-583P15.15,ADAM8,SHF,SENP1
5814,RASL11A,RP5-940J5.6,NBPF15,FIZ1,SLC36A1,TRBV11-2,HCFC1-AS1,URB1
5815,TAS2R14,CTC-523E23.1,CKM,CTD-2616J11.2,CTD-2007H13.3,RIMS3,RP11-367J11.3,GPHN
5816,CTC-273B12.10,CCNB2,OSR2,SNX29P2,CELSR3,LINC00630,STXBP4,ARRDC4
5817,SUV39H1,CTA-445C9.14,DLG5,MICU3,KIF18A,RUNDC3B,RP11-42I10.1,TBC1D32
5818,ZNF653,RP11-216B9.6,RIMS3,PPIL3,NDFIP1,C10ORF68,ANKRD18B,CRISPLD2
5819,DYRK1B,MADCAM1,ABHD6,RP11-158I9.5,RP5-1142A6.2,C17orf51,CUZD1,MFAP3
5820,CAMK1,RP11-477N3.1,ZNF252P-AS1,PPP4R1L,RP11-110I1.14,AASS,PPP2R3A,FAM13A
5821,MAPK3,CDC45,RP11-884K10.7,TJP3,EML3,PREPL,EFHD1,PGAM5
5822,ZNF317,CRB1,NONO,SUN3,ZNF625,CCDC3,SCRG1,CEP128
5823,RAB23,LOXL2,LINC00482,LRRC20,MT3,RP11-932O9.7,ZNF502,AC109826.1
5824,RP11-65I12.1,NUP62CL,NCOR2,NPIPB5,ATP6V0C,THRA,LINC00299,RP11-553L6.2
5825,BTRC,KLHDC9,TRUB1,TNK2-AS1,ADIRF,RP11-134G8.7,RP11-56G10.2,RP1-315G1.3
5826,TNIK,RP4-798A10.7,KB-1507C5.4,AP003774.6,RP11-477N3.1,ZNF541,ANKHD1-EIF4EBP3,GAN
5827,RP11-473M20.7,RP11-661A12.12,HBQ1,MCM5,RP11-138P22.1,TRIM59,TNKS1BP1,RP11-22P6.2
5828,CTC-297N7.8,MYO18A,PC,TMEM205,MAP3K14-AS1,FBXO36,ZNF763,PTCH2
5829,IFFO2,MMS19,TDRD9,UQCRC2,SAPCD2,DOK4,KCNAB3,RPRD1B
5830,TXNRD3,SLCO4A1,LINC01094,ZNF554,NIPAL1,KDM4A-AS1,GNAO1,PFN2
5831,RP11-774O3.3,GLIPR1L2,LL22NC03-86G7.1,AP1S3,ADAMTSL5,C1orf172,TRIM54,RP11-499P20.2
5832,SLC1A4,ATP8A2,RP11-206L10.9,RP11-493L12.4,RP11-707M3.3,RP11-700H6.1,ITPKB-AS1,INTS2
5833,ZNF625,BNC2,RP11-677M14.7,CEP112,BTBD19,TMEM209,CITF22-92A6.1,ZNF507
5834,TCEAL2,RTKN,UPK2,PGAP1,GPM6A,RP11-242D8.1,C19orf12,ZNF248
5835,RP13-131K19.2,CITF22-92A6.1,CCL3L1,RYBP,KTN1-AS1,TPRN,SLC4A5,AL354822.1
5836,FBXL4,TROAP,FSD1,RRP36,RP11-529K1.4,WNK3,RP4-549L20.3,CPED1
5837,CTD-2288F12.1,RP11-138P22.1,SIGLEC14,FERMT3,CTD-2516F10.2,C2CD4D,C2orf44,FEZ1
5838,CTD-2353F22.1,RP11-347C12.1,SS18L1,WDR45,MADCAM1,AGAP5,SLC35F3,AC006129.4
5839,CLN3-1,ZNF578,SDCBP2,C17orf107,USP12-AS2,GPM6A,C1orf101,TBKBP1
5840,RP11-342M1.3,ZNF541,C14orf28,PNMA5,SKA1,ZBTB8A,ZNF252P-AS1,ZNF12
5841,TMEM203,KIF18A,MAP3K12,IMMP2L,RP11-33O4.1,DHODH,CELSR3,LEPREL4
5842,RP11-378A13.2,GRIK4,OTOA,LIMA1,CECR6,CYP2D6,RP11-532F12.5,UNC119B
5843,TMEM59,CELSR3,RP11-77H9.2,NAGA,ZACN,ZNF620,MID2,KIAA1958
5844,TRIM59,RP11-666A1.5,RP11-212I21.4,FANCI,RP4-684O24.5,ANKRD34A,RHOD,RP5-1065J22.8
5845,CLPTM1L,7SK-2,LCN2,SH3BP5L,CLTCL1,MAGI3,RAPGEF3,ZNF484
5846,RP11-350F4.2,PRDM11,RP11-443B7.3,RP3-402G11.25,USP54,AC026471.6,RP11-559M23.1,PPAPDC2
5847,RLN1,RP4-548D19.3,CTD-2659N19.9,ANKS6,KIF9-AS1,AP003068.9,AC009501.4,CTA-250D10.23
5848,KRT8,C9orf24,AC083843.2,WDR47,RP11-531A24.5,RP1-317E23.3,KRT72,FMO4
5849,ARMC2,MAGI3,KIF18A,PEX10,TMEM238,RAB12,EPM2A,GGH
5850,LY6G5B,COL6A1,RNF165,TAF5L,ERP44,RP11-532F12.5,DCUN1D3,DTHD1
5851,LRRCC1,DEPDC1B,LINC00884,HIGD1A,RP11-260M2.1,MTFR2,SEMA4F,DNHD1
5852,ARMCX2,AKR1CL1,ADD2,ANKMY2,ZNF615,IL23A,ADAMTSL5,HAAO
5853,DVL3,GTF2IRD1,OVCH1-AS1,RP11-404F10.2,PANK1,RP11-641A6.2,C1orf172,KLHDC8B
5854,C21orf58,MAP3K14-AS1,CTD-2619J13.14,RP11-474G23.3,PSMA8,SEMA4G,RP11-643M14.1,TRIM24
5855,EMR2,ATL1,TCAP,IGSF8,CTD-2201I18.1,RP11-473M20.16,RP11-46J23.1,HLX
5856,ZNF19,RP11-265P11.2,RP11-351I24.1,ACAP3,RP4-794H19.1,NCKAP1,RP11-77H9.2,FBXL16
5857,FASTKD5,RP11-260M2.1,AC099850.1,RP3-508I15.22,RND1,LINC00176,RP11-293A21.1,RAB3A
5858,HAR1B,DYX1C1,RP11-15A1.7,PQLC2,KLHL29,SRRM5,CACNA1C-AS1,FAM3B
5859,PRSS53,RP4-784A16.5,CYP4F22,LOXL3,ARHGAP42,C10orf111,C5orf27,LINC01136
5860,MAP2K4,LARS2,RP4-607J23.2,KIF21A,ABCC6,GPR157,RP11-498C9.2,PAK4
5861,RP11-191L17.1,MAN1C1,RP11-362F19.3,CKAP2L,AC068580.6,FAM47E,LINC00957,MAPKBP1
5862,TRIM58,MUC20,AC005932.1,COMMD4,RAB15,NEDD4,ACSL6,ATP8B3
5863,PCBP2,KIF2C,RP11-338C15.3,SERAC1,GPR157,TPBG,RP11-390F4.3,AC096772.6
5864,ST6GAL1,ZNF571-AS1,MOV10L1,ZMYND19,SGPP2,RP11-782C8.1,NAP1L3,CNTROB
5865,UNC45B,GCNT4,RP11-782C8.1,DGKE,TAS2R30,MXRA7,CCL27,AIFM3
5866,C14orf28,AMY2B,RASA4B,XXbac-BPG181M17.6,ZNF286B,CYP2J2,RP11-791G15.2,CAD
5867,ALOX5,AC195454.1,CEP112,RP11-252A24.7,RP11-540O11.6,LINC00511,SLC12A5,CSRNP2
5868,PHLDA2,Y_RNA,KRT73,ACOT11,RP11-105N14.1,GTSCR1,KDELC1,ZNF718
5869,AC015922.6,MTFR2,CTD-2541M15.4,CTD-2260A17.1,TRIM31,TMEM171,AC124944.3,LMO7
5870,NAA60,TMPRSS3,IL15,NBEAL2,RP11-863K10.7,RP11-137H2.4,TMCO6,ZKSCAN3
5871,EFR3A,RP6-206I17.2,MPO,SPATA2,RP11-513M16.7,ZNF239,ZNF483,TMEM194A
5872,GADD45G,SLC16A10,COL13A1,IPMK,ANKRD50,ZBTB42,STAP2,DNAJB4
5873,CTD-3203P2.2,LINC00511,SUN3,RP6-91H8.3,KRT8,AC083843.2,FSIP1,LINC00863
5874,TVP23A,KLHL23,PHGDH,CHAF1B,ADD2,SUMO4,RP11-511I2.2,GET4
5875,ADAM15,ZNF208,LIM2,GNG11,ARHGEF10,CTD-2555C10.3,BATF3,FEM1C
5876,CTD-2165H16.4,ARHGAP42,SPOCD1,NUDT3,ACAD11,NHSL2,MYCBP2-AS1,ERCC8
5877,CERS5,C4orf47,PEBP4,HDAC9,LOXL2,PTOV1-AS1,DMPK,GLB1L
5878,RP11-661A12.12,CTRL,RP11-647K16.1,FOSL2,RP11-362K14.6,RP11-511B23.1,RP11-600F24.7,ABCB10
5879,UBL7-AS1,RP11-247A12.2,KCNH3,CCNE1,ZNF208,RP11-6F2.5,GOLPH3L,KIAA1279
5880,NEXN,RP11-666A20.4,SLC12A5,CXCL2,RP11-178L8.7,PRR22,RP11-477N3.1,C1orf112
